com.samsung.health.nutrition,6123001,2
potassium,vitamin_a,vitamin_c,cholesterol,start_time,custom,sodium,dietary_fiber,total_fat,update_time,create_time,meal_type,monosaturated_fat,protein,polysaturated_fat,iron,sugar,title,calcium,calorie,time_offset,deviceuuid,saturated_fat,trans_fat,pkg_name,carbohydrate,datauuid
0.0,0.0,0.0,0.0,2019-02-18 11:00:00.000,,0.0,0.0,0.0,2019-02-18 11:01:08.768,2019-02-18 11:01:08.768,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,881.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,6e34a865-5b8d-43ae-8b9d-25963fd2f65f,
0.0,0.0,0.0,0.0,2019-02-19 11:00:00.000,,0.0,0.0,0.0,2019-02-19 11:00:11.295,2019-02-19 11:00:11.295,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,881.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,44125346-a9cd-4362-b931-f477ae571a6f,
0.0,0.0,0.0,0.0,2019-02-26 16:00:00.000,,0.0,0.0,0.0,2019-02-26 16:00:33.096,2019-02-26 16:00:33.096,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,846.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,3ec16b5e-33d1-4d06-8d7b-971826e08dd0,
0.0,0.0,0.0,0.0,2019-02-20 06:00:00.000,,0.0,0.0,0.0,2019-02-20 06:01:39.669,2019-02-20 06:01:39.669,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,882.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,23dae8d3-6ef8-4e65-9483-c5eac25e354f,
0.0,0.0,0.0,0.0,2019-02-04 16:00:00.000,,0.0,0.0,0.0,2019-02-04 16:01:36.864,2019-02-04 16:01:36.864,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,1b2f61ae-d5db-4425-b767-785dc4f92ae4,
0.0,0.0,0.0,0.0,2019-02-20 11:00:00.000,,0.0,0.0,0.0,2019-02-20 11:00:22.917,2019-02-20 11:00:22.917,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,881.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,78dec53c-ec4b-499d-9ffb-711f91456b46,
0.0,0.0,0.0,0.0,2019-03-01 11:00:00.000,,0.0,0.0,0.0,2019-03-01 11:03:00.625,2019-03-01 11:03:00.625,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,846.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,56e7a40f-c7fb-4922-ad31-4989e1ae71d5,
0.0,0.0,0.0,0.0,2019-02-21 11:00:00.000,,0.0,0.0,0.0,2019-02-21 11:02:49.833,2019-02-21 11:02:49.833,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,881.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,2ff89335-9b19-4c72-baea-d789809c61f2,
0.0,0.0,0.0,0.0,2019-02-28 16:00:00.000,,0.0,0.0,0.0,2019-02-28 16:00:42.669,2019-02-28 16:00:42.669,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,846.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,ee4eebe2-2a76-4b9c-bb36-be01bbd446d9,
0.0,0.0,0.0,0.0,2019-02-06 16:00:00.000,,0.0,0.0,0.0,2019-02-06 16:01:07.199,2019-02-06 16:01:07.199,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,d3e5c43f-c4cd-4484-a066-a2b22955460e,
