com.samsung.health.water_intake,6123001,5
start_time,amount,custom,update_time,create_time,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.194,2019-06-09 00:10:28.194,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,4f43560e-9d27-4b15-9da7-46fbbd57a249,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.193,2019-06-09 00:10:28.193,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,4aa6c67a-d079-4650-a129-9a4b78dc03b8,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.196,2019-06-09 00:10:28.196,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,27765af4-44d8-46e5-8b0e-50535149699b,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.104,2019-06-07 00:59:09.104,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,9c3cc194-75a9-413c-bbbd-2babfb66f4a8,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.194,2019-06-09 00:10:28.194,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,627e871c-f6c2-4a21-bf4b-c45b72b07ce4,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.195,2019-06-09 00:10:28.195,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,509631a2-f4c3-41f7-9ddb-5dd488cf82f4,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.195,2019-06-09 00:10:28.195,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,999a7686-310f-4521-97e6-2d6943bae6b4,
2019-06-07 20:59:59.998,250.0,,2019-06-09 00:10:28.191,2019-06-09 00:10:28.191,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,13fe29c3-7899-420d-ab89-5e6eb9c463e4,
2019-06-08 20:59:59.998,250.0,,2019-06-09 00:10:35.853,2019-06-09 00:10:35.853,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,c63379a7-e751-402b-8889-b4e21bdf9385,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.106,2019-06-07 00:59:09.106,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,42e46e0c-4b30-4cd6-ac26-48a3daef0a3d,
