com.samsung.shealth.activity.day_summary,6123001,1
step_count,active_time,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
2579,1707644,0,2019-04-04 18:04:32.953,2019-04-02 21:00:00.503,60,46023,46,2043.36,119.50001,bd8a049d-4de9-4576-b4de-cd6e176213c6.extra_data.json,lv82WtQZxZ,18800,com.sec.android.app.shealth,1688844,22920000,bd8a049d-4de9-4576-b4de-cd6e176213c6,1554249600000,
0,0,0,2019-01-28 21:12:40.659,2019-01-28 21:12:40.659,-1,0,0,0.0,0.0,06328f6e-1cab-4f9c-a6bd-6aa32859a00e.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,06328f6e-1cab-4f9c-a6bd-6aa32859a00e,1546646400000,
4083,2534260,0,2019-03-29 20:33:33.448,2019-03-28 21:00:00.810,60,360000,68,3188.3894,177.79991,241b2e49-6a55-480b-b247-a9197c1c185d.extra_data.json,lv82WtQZxZ,20615,com.sec.android.app.shealth,2513645,25620000,241b2e49-6a55-480b-b247-a9197c1c185d,1553817600000,
2778,1826493,0,2019-04-02 20:59:45.383,2019-04-01 21:00:00.675,60,42688,48,2219.2002,132.41998,3df32422-5dcf-41c0-88c7-f00fb4e681e6.extra_data.json,lv82WtQZxZ,39600,com.sec.android.app.shealth,1786893,26580000,3df32422-5dcf-41c0-88c7-f00fb4e681e6,1554163200000,
0,0,0,2019-01-28 21:12:41.108,2019-01-28 21:12:41.108,-1,0,0,0.0,0.0,c8ae15fb-4cc3-49d8-9bd5-983ab88b0d53.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,c8ae15fb-4cc3-49d8-9bd5-983ab88b0d53,1547164800000,
5089,3284682,0,2019-04-10 05:04:52.624,2019-04-08 21:21:18.406,60,300000,90,3901.5198,219.18999,91281674-fd6d-4af2-9c68-ebd954002cdf.extra_data.json,lv82WtQZxZ,13198,com.sec.android.app.shealth,3271484,16500000,91281674-fd6d-4af2-9c68-ebd954002cdf,1554768000000,
5825,3704031,0,2019-04-08 16:22:38.366,2019-04-07 21:00:00.889,60,240000,101,4469.92,250.30006,24e377af-8bbf-414c-8834-6abc6c66d6f2.extra_data.json,lv82WtQZxZ,20152,com.sec.android.app.shealth,3683879,19980000,24e377af-8bbf-414c-8834-6abc6c66d6f2,1554681600000,
0,0,0,2019-01-28 21:12:41.330,2019-01-28 21:12:41.330,-1,0,0,0.0,0.0,79e9955f-e836-434b-88f4-fad2e0c01f3e.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,79e9955f-e836-434b-88f4-fad2e0c01f3e,1547683200000,
7937,5008628,0,2019-02-04 20:47:53.662,2019-02-03 21:01:00.103,60,360000,136,6136.172,348.44995,d5c01b9e-4c06-4515-b840-1df076180b4d.extra_data.json,lv82WtQZxZ,34889,com.sec.android.app.shealth,4973739,24060000,d5c01b9e-4c06-4515-b840-1df076180b4d,1549238400000,
6905,4256694,0,2019-04-04 21:34:39.947,2019-04-03 21:00:00.729,60,300000,116,5331.6006,294.12,a668a558-ecfa-40ef-8bd5-862f744afb89.extra_data.json,lv82WtQZxZ,29580,com.sec.android.app.shealth,4227114,20159999,a668a558-ecfa-40ef-8bd5-862f744afb89,1554336000000,
0,0,0,2019-01-28 21:12:41.553,2019-01-28 21:12:41.553,-1,0,0,0.0,0.0,608a4989-f7e7-4e7b-9ffe-eae793745977.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,608a4989-f7e7-4e7b-9ffe-eae793745977,1548201600000,
4934,3139779,0,2019-04-14 20:53:38.920,2019-04-13 21:00:00.433,60,300000,85,3880.4905,219.34999,d37ca7b4-ee4a-4021-8e8b-93f30ed54533.extra_data.json,lv82WtQZxZ,50668,com.sec.android.app.shealth,3089111,23880000,d37ca7b4-ee4a-4021-8e8b-93f30ed54533,1555200000000,
3871,2436445,0,2019-04-15 20:55:00.728,2019-04-14 21:00:01.463,60,240000,65,3108.7017,178.19997,0969c3e9-8588-42a9-8f8e-cf3b985efa4c.extra_data.json,lv82WtQZxZ,58800,com.sec.android.app.shealth,2377645,16980000,0969c3e9-8588-42a9-8f8e-cf3b985efa4c,1555286400000,
5313,3263611,0,2019-02-10 20:54:58.598,2019-02-09 21:00:01.069,60,360000,88,4180.73,236.69998,a2877a6a-1272-4319-ac78-ac78d769b2a2.extra_data.json,lv82WtQZxZ,27933,com.sec.android.app.shealth,3235678,26700000,a2877a6a-1272-4319-ac78-ac78d769b2a2,1549756800000,
5569,3442398,0,2019-01-30 21:00:00.641,2019-01-29 21:00:00.532,60,300000,93,4393.9297,249.38994,6c922d16-24f8-4904-8f96-ae4d1ae6f7b9.extra_data.json,lv82WtQZxZ,25200,com.sec.android.app.shealth,3417198,28980000,6c922d16-24f8-4904-8f96-ae4d1ae6f7b9,1548806400000,
1557,1026771,0,2019-04-20 20:59:40.721,2019-04-19 21:00:01.663,60,52693,26,1259.12,74.81999,19d094a1-f675-4bde-be52-bde6b3b490ca.extra_data.json,lv82WtQZxZ,17600,com.sec.android.app.shealth,1009171,39600000,19d094a1-f675-4bde-be52-bde6b3b490ca,1555718400000,
2857,1885030,0,2019-02-05 21:40:04.872,2019-02-04 21:00:00.407,60,60000,50,2297.401,135.71002,369eddf8-3d89-4555-a964-c9b69fa8fd6a.extra_data.json,lv82WtQZxZ,30800,com.sec.android.app.shealth,1854230,21060000,369eddf8-3d89-4555-a964-c9b69fa8fd6a,1549324800000,
4659,2917987,0,2019-04-26 20:47:51.276,2019-04-25 21:00:01.438,60,1094795,80,3669.3145,214.98663,9e936e67-1b1b-4de4-9d76-0d2e01133268.extra_data.json,lv82WtQZxZ,10400,com.sec.android.app.shealth,2907587,22500000,9e936e67-1b1b-4de4-9d76-0d2e01133268,1556236800000,
2962,1963639,0,2019-04-10 20:29:09.163,2019-04-09 21:00:00.659,60,49358,53,2319.52,133.68004,7d0ae431-cc61-4473-8b2a-7f4d1717ec51.extra_data.json,lv82WtQZxZ,18000,com.sec.android.app.shealth,1945639,21480000,7d0ae431-cc61-4473-8b2a-7f4d1717ec51,1554854400000,
