com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
5230,e3584d9a-2161-488a-8391-97514dcf2a32.binning_data.json,2749717,4500,58,2019-02-03 18:55:00.044,com.sec.android.app.shealth,2019-02-02 21:26:44.174,e3584d9a-2161-488a-8391-97514dcf2a32.source_info.json,1.4775116,4062.7402,230.49998,5172,VfS0qUERdZ,com.sec.android.app.shealth,0,e3584d9a-2161-488a-8391-97514dcf2a32.achievement.json,e3584d9a-2161-488a-8391-97514dcf2a32,1549152000000,
4488,1a12f817-6de9-4aad-8d31-8997924c8841.binning_data.json,2263522,4500,56,2019-02-20 20:58:00.557,com.sec.android.app.shealth,2019-02-20 04:11:06.707,1a12f817-6de9-4aad-8d31-8997924c8841.source_info.json,1.5604529,3532.12,194.07999,4432,VfS0qUERdZ,com.sec.android.app.shealth,0,1a12f817-6de9-4aad-8d31-8997924c8841.achievement.json,1a12f817-6de9-4aad-8d31-8997924c8841,1550620800000,
3891,f1a0d2e0-10b3-4b53-9832-c986dd485a1b.binning_data.json,1970642,4500,63,2019-02-17 21:00:08.594,com.sec.android.app.shealth,2019-02-15 21:44:30.172,f1a0d2e0-10b3-4b53-9832-c986dd485a1b.source_info.json,1.573903,3101.6,181.81999,3828,VfS0qUERdZ,com.sec.android.app.shealth,0,f1a0d2e0-10b3-4b53-9832-c986dd485a1b.achievement.json,f1a0d2e0-10b3-4b53-9832-c986dd485a1b,1550275200000,
9705,61dbf957-1c62-41e4-8e07-18705be41d5b.binning_data.json,5200456,4500,121,2019-02-28 21:00:04.028,com.sec.android.app.shealth,2019-02-28 21:00:04.028,,3.6388888,7492.3,421.79996,9584,lv82WtQZxZ,com.sec.android.app.shealth,0,61dbf957-1c62-41e4-8e07-18705be41d5b.achievement.json,61dbf957-1c62-41e4-8e07-18705be41d5b,1551312000000,
3343,c2360707-b5a1-47a1-8827-5da5dd9a83b1.binning_data.json,1716825,4500,61,2019-02-23 20:30:00.506,com.sec.android.app.shealth,2019-02-22 21:19:29.443,c2360707-b5a1-47a1-8827-5da5dd9a83b1.source_info.json,1.5633682,2684.03,155.81999,3282,VfS0qUERdZ,com.sec.android.app.shealth,0,c2360707-b5a1-47a1-8827-5da5dd9a83b1.achievement.json,c2360707-b5a1-47a1-8827-5da5dd9a83b1,1550880000000,
3021,9edbf474-4d78-4583-8318-9bf5e0e0db17.binning_data.json,1502590,4500,136,2019-02-06 20:39:39.438,com.sec.android.app.shealth,2019-02-05 21:40:05.015,9edbf474-4d78-4583-8318-9bf5e0e0db17.source_info.json,1.648234,2476.62,149.87,2885,VfS0qUERdZ,com.sec.android.app.shealth,0,9edbf474-4d78-4583-8318-9bf5e0e0db17.achievement.json,9edbf474-4d78-4583-8318-9bf5e0e0db17,1549411200000,
3638,31ff85e3-1f40-4a7e-b2b1-32d255cab305.binning_data.json,1848803,4500,92,2019-03-03 20:16:00.438,com.sec.android.app.shealth,2019-03-02 21:04:00.627,31ff85e3-1f40-4a7e-b2b1-32d255cab305.source_info.json,1.57649,2914.62,168.32999,3546,VfS0qUERdZ,com.sec.android.app.shealth,0,31ff85e3-1f40-4a7e-b2b1-32d255cab305.achievement.json,31ff85e3-1f40-4a7e-b2b1-32d255cab305,1551571200000,
6506,fee3f21f-77d0-491d-9286-1ab1648ef73e.binning_data.json,3516329,4500,38,2019-02-26 20:55:00.434,com.sec.android.app.shealth,2019-02-25 21:01:07.536,fee3f21f-77d0-491d-9286-1ab1648ef73e.source_info.json,1.4236435,5006.0,278.49997,6468,VfS0qUERdZ,com.sec.android.app.shealth,0,fee3f21f-77d0-491d-9286-1ab1648ef73e.achievement.json,fee3f21f-77d0-491d-9286-1ab1648ef73e,1551139200000,
5047,5f3547d7-8ff0-4ebf-b0f0-576f3fcbe7b3.binning_data.json,2512507,4500,151,2019-03-02 21:00:03.241,com.sec.android.app.shealth,2019-03-01 21:00:06.174,,4.0100265,4111.48,238.04999,4896,lv82WtQZxZ,com.sec.android.app.shealth,0,5f3547d7-8ff0-4ebf-b0f0-576f3fcbe7b3.achievement.json,5f3547d7-8ff0-4ebf-b0f0-576f3fcbe7b3,1551398400000,
4882,ed1da4de-2e41-4e45-ba1f-fec3d44f9435.binning_data.json,2462727,4500,77,2019-02-09 20:59:41.869,com.sec.android.app.shealth,2019-02-08 21:02:00.679,ed1da4de-2e41-4e45-ba1f-fec3d44f9435.source_info.json,1.574031,3876.41,224.46999,4805,VfS0qUERdZ,com.sec.android.app.shealth,0,ed1da4de-2e41-4e45-ba1f-fec3d44f9435.achievement.json,ed1da4de-2e41-4e45-ba1f-fec3d44f9435,1549670400000,
