com.samsung.shealth.tracker.pedometer_step_count,6123001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
12987,4,0,24,2020-11-07 14:16:00.000,,,2020-11-07 14:19:29.160,2020-11-07 14:16:07.542,24,1.355886,17.61,1.0,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:17:00.000,05aa2532-cb9c-408f-9825-f79374b4adb2,
3274,4,0,8,2020-11-07 10:50:00.000,,,2020-11-07 10:50:19.067,2020-11-07 10:50:17.563,8,1.905562,6.2400002,0.32999998,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 10:51:00.000,c48249c4-a123-4797-95e6-a39fbd956429,
12494,4,0,22,2020-11-07 17:07:00.000,,,2020-11-07 17:07:49.949,2020-11-07 17:07:31.319,22,1.3166265,16.45,0.90000004,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 17:08:00.000,24b2b8b1-5808-4e9c-81f5-ccce815c0db4,
18999,4,14,30,2020-11-07 17:39:00.000,,,2020-11-07 17:39:58.323,2020-11-07 17:39:50.520,44,1.9690199,37.41,2.4099996,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 17:40:00.000,43868e3f-b3e7-44ed-8b52-7214d020c098,
7077,4,0,13,2020-11-07 12:02:00.000,,,2020-11-07 12:08:05.602,2020-11-07 12:08:05.602,13,1.3888888,9.83,0.53,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 12:03:00.000,8fc0a877-eafe-4c77-8537-66b4155827cd,
17191,4,0,35,2020-11-07 12:01:00.000,,,2020-11-07 12:08:05.516,2020-11-07 12:08:05.516,35,1.5833335,27.22,1.4,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 12:02:00.000,b5b68080-f9fc-4d1d-9d00-c77024073f85,
6480,4,2,16,2020-11-07 11:58:00.000,,,2020-11-07 11:59:45.285,2020-11-07 11:59:45.285,18,2.4722223,16.02,0.83,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 11:59:00.000,7d177e4f-ac8e-4570-9caf-051e61347d9b,
2652,4,0,6,2020-11-07 17:56:00.000,,,2020-11-07 17:56:03.325,2020-11-07 17:56:03.325,6,1.8055556,4.79,0.24,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 17:57:00.000,5f5d2954-f638-40d5-b881-eca8c5f2eb7a,
8996,4,0,22,2020-11-07 13:21:00.000,,,2020-11-07 13:21:16.562,2020-11-07 13:21:10.698,22,2.119737,19.07,1.0400001,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 13:22:00.000,6448e848-e60d-4a3d-8517-2cb5b22b1047,
3945,4,0,7,2020-11-07 14:18:00.000,,,2020-11-07 14:19:29.367,2020-11-07 14:19:29.367,7,1.4166666,5.59,0.28,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:19:00.000,d4cd6b56-e43a-4ca7-98c0-6044223ddbf0,
5165,4,0,12,2020-11-07 13:23:00.000,,,2020-11-07 13:26:35.174,2020-11-07 13:23:21.237,12,1.860395,9.610001,0.47999996,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 13:24:00.000,f0d341fb-c5d2-4129-b8a5-69984c20b922,
41646,4,0,83,2020-11-07 14:32:00.000,,,2020-11-07 14:33:13.338,2020-11-07 14:32:00.311,83,1.6793928,69.94,4.02,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:33:00.000,de8b80d2-a370-4b9e-a4f5-ed65bb334857,
14182,4,0,30,2020-11-07 12:06:00.000,,,2020-11-07 12:08:05.941,2020-11-07 12:08:05.941,30,1.75,24.82,1.41,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 12:07:00.000,14c22249-6582-4355-a77e-df086bb2fc63,
16345,4,0,28,2020-11-07 18:15:00.000,,,2020-11-07 18:17:18.107,2020-11-07 18:15:40.873,28,1.2896376,21.079998,1.15,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 18:16:00.000,61303c6a-4fb3-4af6-afa2-48db254d18cd,
4051,4,0,8,2020-11-07 14:41:00.000,,,2020-11-07 14:41:14.071,2020-11-07 14:41:13.391,8,1.5621932,6.33,0.32,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:42:00.000,8281f193-5ad1-445a-a17c-32b310211a60,
2498,4,0,7,2020-11-07 14:47:00.000,,,2020-11-07 14:47:59.255,2020-11-07 14:47:58.778,7,2.2689514,5.67,0.27,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:48:00.000,8c6e7059-2110-4666-9163-c90026f4042e,
3018,4,0,6,2020-11-07 14:13:00.000,,,2020-11-07 14:13:28.128,2020-11-07 14:13:28.128,6,1.4444444,4.36,0.25,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:14:00.000,0254beeb-eb33-44c4-9665-dc95287254df,
6292,4,0,14,2020-11-07 15:04:00.000,,,2020-11-07 15:04:56.465,2020-11-07 15:04:08.782,14,1.71786,10.809999,0.56,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 15:05:00.000,23e7386e-56f4-4b67-9ecc-2389594cf143,
4665,4,1,13,2020-11-07 14:19:00.000,,,2020-11-07 14:20:16.332,2020-11-07 14:19:39.150,14,2.9599311,13.809999,1.0,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:20:00.000,20c447f7-8f7b-4bf9-b13a-93c1905efc1b,
6316,4,0,10,2020-11-07 16:20:00.000,,,2020-11-07 16:20:18.179,2020-11-07 16:20:14.562,10,1.1477672,7.25,0.40999997,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 16:21:00.000,a40a7a1f-3e1d-4376-bea7-fd5d9808f08e,
3705,4,0,7,2020-11-07 16:49:00.000,,,2020-11-07 16:51:05.138,2020-11-07 16:51:05.138,7,1.4166666,5.25,0.29,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 16:50:00.000,cca51899-9f0b-4ef5-a34c-6454ad07e311,
13332,4,0,28,2020-11-07 18:59:00.000,,,2020-11-07 19:05:07.532,2020-11-07 19:05:07.532,28,1.5833334,21.11,1.16,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 19:00:00.000,2b82211d-13ee-4647-832c-3cfcb3b7517b,
19580,4,0,43,2020-11-07 17:13:00.000,,,2020-11-07 17:13:29.445,2020-11-07 17:13:28.466,43,1.74666,34.2,1.7299999,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 17:14:00.000,a2803947-5cc2-4858-8d72-944a0ddb649d,
6249,4,0,10,2020-11-07 14:44:00.000,,,2020-11-07 14:44:57.527,2020-11-07 14:44:55.394,10,1.2096323,7.56,0.40999997,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 14:45:00.000,95d0aaca-8091-4f88-a7f1-c1860b6f9f0d,
